DOI,Catalyst total metal loading (%),Catalyst average crystallite size (nm),Catalyst crystallinity index (-),Catalyst specific surface area (m².g⁻¹),Catalyst pore volume (cm³.g⁻¹),Catalyst average pore diameter (nm),Reaction temperature (°C),Gas hourly space velocity (mL.h⁻¹.gcat⁻¹),Ammonia conversion (%)
https://doi.org/10.1016/j.fuel.2022.125094,3.58,16.42,72.69,9.6,0.03,6.8,500,30000,75.1462
https://doi.org/10.1016/j.fuel.2022.125094,3.58,16.42,72.69,9.6,0.03,6.8,550,30000,91.2281
https://doi.org/10.1016/j.fuel.2022.125094,3.21,15.74,66.14,3.6,0.02,13.2,350,30000,23.3918
https://doi.org/10.1016/j.fuel.2022.125094,3.21,15.74,66.14,3.6,0.02,13.2,400,30000,42.1053
https://doi.org/10.1016/j.fuel.2022.125094,3.21,15.74,66.14,3.6,0.02,13.2,450,30000,60.2339
https://doi.org/10.1016/j.fuel.2022.125094,3.21,15.74,66.14,3.6,0.02,13.2,500,30000,82.1637
https://doi.org/10.1016/j.fuel.2022.125094,3.21,15.74,66.14,3.6,0.02,13.2,550,30000,96.1988
https://doi.org/10.1016/j.fuel.2022.125094,3.21,15.74,66.14,3.6,0.02,13.2,450,30000,61.22
https://doi.org/10.1016/j.cattod.2022.08.009,1.22,7.47,42.91,228.5,0.67,16.384,400,10000,5.49763
https://doi.org/10.1016/j.cattod.2022.08.009,1.22,7.47,42.91,228.5,0.67,16.384,450,10000,23.3175
https://doi.org/10.1016/j.cattod.2022.08.009,1.22,7.47,42.91,228.5,0.67,16.384,500,10000,51.1848
https://doi.org/10.1016/j.cattod.2022.08.009,13.43,14.64,72.55,234.4,0.66,16.384,350,10000,3.41232
https://doi.org/10.1016/j.cattod.2022.08.009,13.43,14.64,72.55,234.4,0.66,16.384,400,10000,14.9763
https://doi.org/10.1016/j.cattod.2022.08.009,13.43,14.64,72.55,234.4,0.66,16.384,450,10000,39.4313
https://doi.org/10.1016/j.cattod.2022.08.009,13.43,14.64,72.55,234.4,0.66,16.384,500,10000,72.2275
https://doi.org/10.1016/j.cattod.2022.08.009,12.45,8.45,62.77,239.6,0.66,16.384,350,10000,4.17062
https://doi.org/10.1016/j.cattod.2022.08.009,12.45,8.45,62.77,239.6,0.66,16.384,400,10000,17.8199
https://doi.org/10.1016/j.cattod.2022.08.009,12.45,8.45,62.77,239.6,0.66,16.384,450,10000,46.0664
https://doi.org/10.1016/j.cattod.2022.08.009,12.45,8.45,62.77,239.6,0.66,16.384,500,10000,80.1
https://doi.org/10.1016/j.fuel.2022.124384,56.5,10.88,82.02,11,0.904,11.3,350,75000,55.9
https://doi.org/10.1016/j.fuel.2022.124384,27.2,9.12,77.29,12,0.904,13.6,400,75000,71.2
https://doi.org/10.1016/j.fuel.2022.124384,24.8,9.66,81.04,12,0.904,17.2,400,75000,77.6
https://doi.org/10.1016/j.fuel.2022.124384,27.8,9.76,87.77,9,0.904,19.5,400,75000,88.2
https://doi.org/10.1016/j.fuel.2022.124384,25.6,9.23,78.39,9,0.904,22.6,400,75000,81.2
https://doi.org/10.1016/j.fuel.2022.124384,56.5,9.73,78.08,10,0.904,26.1,400,75000,86.2
https://doi.org/10.1016/j.fuel.2022.124384,56.5,9.73,78.08,10,0.904,26.1,350,75000,43.0769
https://doi.org/10.1016/j.fuel.2022.124384,25,9.09,84.15,25,0.904,19.8,450,75000,99.115
https://doi.org/10.1016/j.fuel.2022.124384,56.75,13.25,88.01,29,0.904,19.8,450,75000,98.8596
doi.org/10.1002/cctc.202200688,4,4.74,78.18,181,0.434,6.698,450,15000,9.34066
doi.org/10.1002/cctc.202200688,4,4.74,78.18,181,0.324,6.698,500,15000,25.8242
doi.org/10.1002/cctc.202200688,4,4.74,78.18,181,0.296,6.698,550,15000,57.1429
doi.org/10.1002/cctc.202200688,4,4.74,78.18,181,0.362,6.698,600,15000,89.8352
doi.org/10.1002/cctc.202200688,4,5.38,73.75,177,0.309,7.44,450,15000,4.94505
doi.org/10.1002/cctc.202200688,4,5.38,73.75,177,0.309,7.44,500,15000,12.3626
doi.org/10.1002/cctc.202200688,4,5.38,73.75,177,0.309,7.44,550,15000,29.9451
doi.org/10.1002/cctc.202200688,4,5.38,73.75,177,0.309,7.44,650,15000,84.6154
doi.org/10.1002/cctc.202200688,8,6.89,68.59,172,0.407,8.516,450,15000,12.9121
doi.org/10.1002/cctc.202200688,8,6.89,68.59,172,0.407,8.516,500,15000,34.3407
doi.org/10.1002/cctc.202200688,8,6.89,68.59,172,0.407,8.516,550,15000,70.3297
doi.org/10.1002/cctc.202200688,8,6.89,68.59,172,0.407,8.516,600,15000,96.7033
doi.org/10.1002/cctc.202200688,8,6.89,68.59,172,0.407,8.516,450,7500,27.2464
doi.org/10.1002/cctc.202200688,8,6.89,68.59,172,0.407,8.516,500,7500,63.1884
doi.org/10.1002/cctc.202200688,8,6.89,68.59,172,0.407,8.516,550,7500,94.7826
doi.org/10.1002/cctc.202200688,8,6.89,68.59,172,0.407,8.516,450,30000,12.4638
doi.org/10.1002/cctc.202200688,8,6.89,68.59,172,0.407,8.516,550,30000,69.2754
doi.org/10.1002/cctc.202200688,8,6.89,68.59,172,0.407,8.516,600,30000,96.5217
doi.org/10.1002/cctc.202200688,8,7.55,68.13,160,0.368,8.49,450,15000,8.24176
doi.org/10.1002/cctc.202200688,8,7.55,68.13,160,0.368,8.49,500,15000,21.1538
doi.org/10.1002/cctc.202200688,8,7.55,68.13,160,0.368,8.49,550,15000,48.0769
doi.org/10.1002/cctc.202200688,8,7.55,68.13,160,0.368,8.49,650,15000,95.0549
doi.org/10.1002/cctc.202200688,8,7.55,68.13,160,0.368,8.49,450,7500,8.79765
doi.org/10.1002/cctc.202200688,8,7.55,68.13,160,0.368,8.49,550,7500,55.7185
doi.org/10.1002/cctc.202200688,8,7.55,68.13,160,0.368,8.49,600,7500,90.9091
doi.org/10.1002/cctc.202200688,8,7.55,68.13,160,0.368,8.49,500,30000,14.956
doi.org/10.1002/cctc.202200688,8,7.55,68.13,160,0.368,8.49,550,30000,36.0704
doi.org/10.1002/cctc.202200688,8,7.55,68.13,160,0.368,8.49,600,30000,71.261
doi.org/10.1002/cctc.202200688,8,7.55,68.13,160,0.368,8.49,650,30000,95.3079
https://doi.org/10.3390/sym14122627,14.9,17.68,69.91,227,0.55,6.96,400,30000,5.12048
https://doi.org/10.3390/sym14122627,14.9,17.68,69.91,227,0.55,6.96,500,30000,26.506
https://doi.org/10.3390/sym14122627,14.9,17.68,69.91,227,0.55,6.96,550,30000,52.4096
https://doi.org/10.3390/sym14122627,14.9,17.68,69.91,227,0.55,6.96,600,30000,80.4217
https://doi.org/10.3390/sym14122627,14.9,17.68,69.91,227,0.55,6.96,650,30000,95.4819
https://doi.org/10.3390/sym14122627,14.9,17.68,69.91,227,0.55,6.96,550,30000,59.8367
https://doi.org/10.3390/sym14122627,14.9,17.68,69.91,227,0.55,6.96,650,30000,91.7959
https://doi.org/10.3390/sym14122627,17.8,17.28,93.62,199,0.53,8.296,400,30000,3.61446
https://doi.org/10.3390/sym14122627,17.8,17.28,93.62,199,0.53,8.296,500,30000,20.1807
https://doi.org/10.3390/sym14122627,17.8,17.28,93.62,199,0.53,8.296,550,30000,41.8675
https://doi.org/10.3390/sym14122627,17.8,17.28,93.62,199,0.53,8.296,600,30000,67.4699
https://doi.org/10.3390/sym14122627,17.8,17.28,93.62,199,0.53,8.296,650,30000,88.5542
https://doi.org/10.3390/sym14122627,22.6,12.89,72.12,179,0.55,7.19,400,30000,2.40964
https://doi.org/10.3390/sym14122627,22.6,12.89,72.12,179,0.55,7.19,500,30000,18.9759
https://doi.org/10.3390/sym14122627,22.6,12.89,72.12,179,0.55,7.19,550,30000,37.3494
https://doi.org/10.3390/sym14122627,22.6,12.89,72.12,179,0.55,7.19,600,30000,63.5542
https://doi.org/10.3390/sym14122627,22.6,12.89,72.12,179,0.55,7.19,650,30000,87.3494
https://doi.org/10.3390/sym14122627,12.1,19.86,49.33,224,0.56,8.365,400,30000,1.50602
https://doi.org/10.3390/sym14122627,12.1,19.86,49.33,224,0.56,8.365,500,30000,15.3614
https://doi.org/10.3390/sym14122627,12.1,19.86,49.33,224,0.56,8.365,550,30000,30.4217
https://doi.org/10.3390/sym14122627,12.1,19.86,49.33,224,0.56,8.365,600,30000,57.5301
https://doi.org/10.3390/sym14122627,12.1,19.86,49.33,224,0.56,8.365,650,30000,84.6386
https://doi.org/10.3390/sym14122627,7.5,19.37,71.57,224,0.61,8.166,400,30000,4.51807
https://doi.org/10.3390/sym14122627,7.5,19.37,71.57,224,0.61,8.166,500,30000,12.3494
https://doi.org/10.3390/sym14122627,7.5,19.37,71.57,224,0.61,8.166,550,30000,23.7952
https://doi.org/10.3390/sym14122627,7.5,19.37,71.57,224,0.61,8.166,600,30000,49.3976
https://doi.org/10.3390/sym14122627,7.5,19.37,71.57,224,0.61,8.166,650,30000,78.6145
https://doi.org/10.3390/sym14122627,4.9,19.29,76.87,241,0.49,8.795,400,30000,1.20482
https://doi.org/10.3390/sym14122627,4.9,19.29,76.87,241,0.49,8.795,500,30000,6.0241
https://doi.org/10.3390/sym14122627,4.9,19.29,76.87,241,0.49,8.795,550,30000,14.4578
https://doi.org/10.3390/sym14122627,4.9,19.29,76.87,241,0.49,8.795,600,30000,31.0241
https://doi.org/10.3390/sym14122627,4.9,19.29,76.87,241,0.49,8.795,650,30000,51.8072
https://doi.org/10.1007/s12598- 022-02136-5,5,16.81,76.52,36,0.158,11.4,600,12000,85.6618
https://doi.org/10.1007/s12598- 022-02136-5,5,16.81,76.52,36,0.158,11.4,600,12000,84.7352
https://doi.org/10.1007/s12598- 022-02136-5,5,16.81,76.52,36,0.158,11.4,650,12000,97.8193
https://doi.org/10.1007/s12598- 022-02136-5,5,13.64,82.11,28,0.253,11.3,600,12000,83.0882
https://doi.org/10.1007/s12598- 022-02136-5,5,13.64,82.11,28,0.253,11.3,600,12000,82.7206
https://doi.org/10.1007/s12598- 022-02136-5,5,13.64,82.11,28,0.253,11.3,650,12000,95.5882
https://doi.org/10.1007/s12598- 022-02136-5,5,13.84,84.72,56,0.267,13.6,600,12000,89.3382
https://doi.org/10.1007/s12598- 022-02136-5,5,13.84,84.72,56,0.267,13.6,600,12000,89.3382
https://doi.org/10.1007/s12598- 022-02136-5,5,13.84,84.72,56,0.267,13.6,650,12000,97.0588
https://doi.org/10.1007/s12598- 022-02136-5,5,14.62,87.77,52,0.364,17.2,600,12000,83.4559
https://doi.org/10.1007/s12598- 022-02136-5,5,14.62,87.77,52,0.364,17.2,600,12000,82.243
https://doi.org/10.1007/s12598- 022-02136-5,5,14.62,87.77,52,0.364,17.2,650,12000,94.704
https://doi.org/10.1016/j.ijhydene.2021.09.071,8.42,12.26,59.04,115.92,0.13,6.36,400,6000,7.52212
https://doi.org/10.1016/j.ijhydene.2021.09.071,8.42,12.26,59.04,115.92,0.13,6.36,450,6000,41.1504
https://doi.org/10.1016/j.ijhydene.2021.09.071,8.42,12.26,59.04,115.92,0.13,6.36,500,6000,78.9823
https://doi.org/10.1016/j.ijhydene.2021.09.071,8.42,12.26,59.04,115.92,0.13,6.36,550,6000,94.2478
https://doi.org/10.1016/j.ijhydene.2021.09.071,8.42,12.26,59.04,115.92,0.13,6.36,500,6000,84.055
https://doi.org/10.1016/j.ijhydene.2021.09.071,8.42,12.26,59.04,115.92,0.13,6.36,400,15000,1.76991
https://doi.org/10.1016/j.ijhydene.2021.09.071,8.42,12.26,59.04,115.92,0.13,6.36,450,15000,25.4425
https://doi.org/10.1016/j.ijhydene.2021.09.071,8.42,12.26,59.04,115.92,0.13,6.36,500,15000,61.5044
https://doi.org/10.1016/j.ijhydene.2021.09.071,8.42,12.26,59.04,115.92,0.13,6.36,550,15000,89.823
https://doi.org/10.1016/j.ijhydene.2021.09.071,8.42,12.26,59.04,115.92,0.13,6.36,400,30000,0.663717
https://doi.org/10.1016/j.ijhydene.2021.09.071,8.42,12.26,59.04,115.92,0.13,6.36,450,30000,13.7168
https://doi.org/10.1016/j.ijhydene.2021.09.071,8.42,12.26,59.04,115.92,0.13,6.36,500,30000,44.469
https://doi.org/10.1016/j.ijhydene.2021.09.071,8.42,12.26,59.04,115.92,0.13,6.36,550,30000,81.1947
https://doi.org/10.1016/j.apcata.2020.117969,13.6,15.92,66.54,694,1.1,4.1,450,8000,94.6875
https://doi.org/10.1016/j.apcata.2020.117969,13.6,15.92,66.54,694,1.1,4.1,450,12000,91.4826
https://doi.org/10.1016/j.apcata.2020.117969,13.6,15.92,66.54,694,1.1,4.1,450,20000,82.3344
https://doi.org/10.1016/j.apcata.2020.117969,13.6,15.92,66.54,694,1.1,4.1,450,30000,71.6088
https://doi.org/10.1016/j.apcata.2020.117969,13.6,15.92,66.54,694,1.1,4.1,450,36000,66.877
https://doi.org/10.1016/j.apcata.2020.117969,13.6,15.92,66.54,694,1.1,4.1,450,60000,52.6814
https://doi.org/10.1016/j.apcata.2020.117969,13.6,15.92,66.54,694,1.1,4.1,500,6000,100
